,Code,Name,Northing,Easting,Population,No. pubs,Life expectancy (female),Life expectancy (male),Median income
221,E07000204,,,,,85,,,
222,E07000205,,,,,110,,,
223,E07000206,,,,,75,,,
224,E07000207,Elmbridge,163658.0,511882.0,"137,215",70,85.65,82.9,"37,217"
225,E07000208,Epsom and Ewell,161475.0,521176.0,"81,003",25,86.88,82.52,x
226,E07000209,Guildford,151481.0,500408.0,"150,352",70,85.66,82.49,"34,430"
227,E07000210,Mole Valley,148953.0,518377.0,"87,547",55,86.44,82.76,"26,363"
228,E07000211,Reigate and Banstead,152574.0,525786.0,"149,243",55,84.58,81.35,"32,276"
229,E07000212,Runnymede,166979.0,501777.0,"90,327",35,84.65,81.02,x
230,E07000213,Spelthorne,169622.0,507012.0,"99,873",40,84.15,80.94,"29,145"
231,E07000214,Surrey Heath,160483.0,491362.0,"89,204",40,85.23,82.33,"33,961"
232,E07000215,Tandridge,150325.0,536365.0,"88,542",50,85.13,81.64,"29,014"
233,E07000216,Waverley,140635.0,496363.0,"126,556",85,85.63,82.57,"31,962"
234,E07000217,Woking,157542.0,499087.0,"100,008",45,84.86,82.68,"28,751"
235,E07000218,North Warwickshire,296399.0,425570.0,"65,452",60,82.66,79.05,"26,349"
236,E07000219,Nuneaton and Bedworth,289352.0,435419.0,"130,373",60,82.34,77.61,"22,225"
237,E07000220,Rugby,276244.0,446498.0,"110,650",80,83.51,80.45,"25,659"
238,E07000221,Stratford-on-Avon,251536.0,425019.0,"132,402",145,85.15,81.46,"25,773"
239,E07000222,Warwick,267113.0,428484.0,"144,909",115,84.82,81.23,"27,983"
240,E07000223,Adur,106472.0,518076.0,"64,187",35,83.48,81.44,"22,877"
241,E07000224,Arun,105723.0,495144.0,"161,123",75,83.69,80.0,"21,555"
242,E07000225,Chichester,116600.0,490285.0,"121,508",115,84.45,81.23,"24,038"
243,E07000226,Crawley,137581.0,526390.0,"112,474",45,84.04,80.15,"23,786"
244,E07000227,Horsham,123840.0,513674.0,"145,474",90,85.43,82.51,"26,122"
245,E07000228,Mid Sussex,130623.0,533054.0,"152,142",70,85.0,81.52,"28,205"
246,E07000229,Worthing,104948.0,512679.0,"110,727",45,83.08,79.15,"24,175"
247,E07000234,Bromsgrove,273736.0,399840.0,"100,569",55,83.93,80.92,"27,103"
248,E07000235,Malvern Hills,252197.0,377465.0,"79,445",95,83.51,80.97,x
249,E07000236,Redditch,265253.0,403705.0,"85,568",40,83.43,79.31,"21,521"
250,E07000237,Worcester,255196.0,385725.0,"100,265",75,83.14,79.05,"24,542"
251,E07000238,Wychavon,247839.0,398991.0,"131,084",120,84.79,81.23,"23,868"
252,E07000239,Wyre Forest,276388.0,384106.0,"101,139",75,83.62,78.79,"21,234"
253,E07000240,St Albans,209623.0,514580.0,"149,317",90,85.44,82.03,"34,084"
254,E07000241,Welwyn Hatfield,208467.0,525345.0,"123,893",45,84.16,80.94,"27,476"
255,E07000242,East Hertfordshire,220370.0,537995.0,"151,786",135,84.87,81.77,"32,821"
256,E07000243,Stevenage,224531.0,524622.0,"88,104",35,82.77,79.09,"25,161"
257,E08000001,Bolton,409873.0,368352.0,"288,248",120,81.78,77.74,"22,268"
