,Code,Name,Northing,Easting,Population,No. pubs,Life expectancy (female),Life expectancy (male),Median income
330,W06000003,Conwy,362563.0,283293.0,"118,184",90,82.4,78.76,x
331,W06000004,Denbighshire,355416.0,309843.0,"96,664",90,81.14,78.78,"20,459"
332,W06000005,Flintshire,369280.0,321134.0,"156,847",100,82.69,79.49,"22,783"
333,W06000006,Wrexham,345387.0,333523.0,"136,055",80,81.44,78.25,"23,960"
334,W06000008,Ceredigion,268437.0,267127.0,"72,895",75,84.06,79.27,"21,538"
335,W06000009,Pembrokeshire,221392.0,199821.0,"126,751",165,83.02,79.19,"20,583"
336,W06000010,Carmarthenshire,224133.0,247954.0,"190,073",145,82.39,78.28,"22,543"
337,W06000011,Swansea,197308.0,264022.0,"246,563",150,82.51,77.74,"23,026"
338,W06000012,Neath Port Talbot,195412.0,279261.0,"144,386",90,81.25,77.12,"23,384"
339,W06000013,Bridgend,185870.0,288231.0,"147,539",75,81.14,77.52,"23,497"
340,W06000014,Vale of Glamorgan,173080.0,302947.0,"135,295",75,83.43,79.61,"25,174"
341,W06000015,Cardiff,178887.0,315272.0,"369,202",180,83.04,78.38,"24,918"
342,W06000016,Rhondda Cynon Taf,192395.0,302237.0,"241,873",140,80.96,77.53,"22,463"
343,W06000018,Caerphilly,195259.0,317245.0,"181,731",100,81.39,77.76,"22,497"
344,W06000019,Blaenau Gwent,206771.0,318236.0,"70,020",35,80.42,76.54,"19,459"
345,W06000020,Torfaen,200480.0,327459.0,"94,832",40,81.85,78.23,"23,386"
346,W06000021,Monmouthshire,209231.0,337812.0,"95,164",90,84.45,81.49,"26,071"
347,W06000022,Newport,187432.0,337897.0,"156,447",70,82.25,77.87,"23,425"
348,W06000023,Powys,273255.0,302329.0,"133,030",175,83.69,79.97,"22,493"
349,W06000024,Merthyr Tydfil,206424.0,305916.0,"60,424",40,80.66,76.8,"23,267"
